file_name,num_classes,num_methods,num_reflections,num_file_operations,num_network_operations
modules\commons\src\main\java\org\apache\synapse\commons\evaluators\source\ParameterTextRetriever.java,1,2,0,0,0
modules\commons\src\main\java\org\apache\synapse\commons\evaluators\source\PropertyTextRetriever.java,1,2,0,0,0
modules\commons\src\main\java\org\apache\synapse\commons\evaluators\source\SOAPEnvelopeTextRetriever.java,1,2,0,0,0
modules\commons\src\main\java\org\apache\synapse\commons\evaluators\source\SourceTextRetriever.java,0,2,0,0,0
modules\commons\src\main\java\org\apache\synapse\commons\evaluators\source\URLTextRetriever.java,1,3,0,0,0
modules\commons\src\main\java\org\apache\synapse\commons\executors\BeforeExecuteHandler.java,0,1,0,0,0
modules\commons\src\main\java\org\apache\synapse\commons\executors\ExecutorConstants.java,1,0,0,0,0
modules\commons\src\main\java\org\apache\synapse\commons\executors\Importance.java,0,4,0,0,0
modules\commons\src\main\java\org\apache\synapse\commons\executors\InternalQueue.java,0,8,0,0,0
modules\commons\src\main\java\org\apache\synapse\commons\executors\MultiPriorityBlockingQueue.java,2,27,0,0,0
modules\commons\src\main\java\org\apache\synapse\commons\executors\NextQueueAlgorithm.java,0,2,0,0,0
modules\commons\src\main\java\org\apache\synapse\commons\executors\PriorityExecutor.java,2,22,0,0,0
modules\commons\src\main\java\org\apache\synapse\commons\executors\PRRNextQueueAlgorithm.java,1,2,0,0,0
modules\commons\src\main\java\org\apache\synapse\commons\executors\config\PriorityExecutorFactory.java,1,6,0,0,0
modules\commons\src\main\java\org\apache\synapse\commons\executors\config\PriorityExecutorSerializer.java,1,2,0,0,0
modules\commons\src\main\java\org\apache\synapse\commons\executors\queues\FixedSizeQueue.java,2,23,0,0,0
modules\commons\src\main\java\org\apache\synapse\commons\executors\queues\UnboundedQueue.java,1,15,0,0,0
modules\commons\src\main\java\org\apache\synapse\commons\jmx\JmxConfigurationConstants.java,1,0,0,0,0
modules\commons\src\main\java\org\apache\synapse\commons\jmx\JmxInformation.java,1,18,0,0,0
modules\commons\src\main\java\org\apache\synapse\commons\jmx\JmxInformationFactory.java,1,3,0,0,0
modules\commons\src\main\java\org\apache\synapse\commons\jmx\JmxSecretAuthenticator.java,1,1,0,0,0
modules\commons\src\main\java\org\apache\synapse\commons\jmx\MBeanRegistrar.java,1,7,0,0,0
